id_label,id_version,name,family,status,is_by,is_sa,is_generic,domain_content,domain_data,domain_software,od_conformance,osd_conformance,maintainer,title,url,url_original
ogl-uk,2.0,OGL-UK-2.0,cc-by,active,1,,,1,1,1,approved,not reviewed,UK Government,Open Government Licence 2.0 (United Kingdom),https://www.nationalarchives.gov.uk/doc/open-government-licence/version/2/,
ogl-uk,3.0,OGL-UK-3.0,cc-by,active,1,,,1,1,1,approved,not reviewed,UK Government,Open Government Licence 3.0 (United Kingdom),https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
ogtsl,,OGTSL,,active,,,,,,1,not reviewed,approved,,Open Group Test Suite License,http://www.opensource.org/licenses/OGTSL,
opl,1.0,OPL-1.0,cc-by,?,1,,,1,,,,,,Open Publication License,http://opencontent.org/openpub/,
osl,3.0,OSL-3.0,,active,,,,1,,1,not reviewed,approved,Lawrence Rosen,Open Software License 3.0,http://www.opensource.org/licenses/OSL-3.0,
other-at,,other-at,,active,,,1,1,,,approved,not reviewed,,Other (Attribution),,
other-closed,,other-closed,,active,,,1,,,,not reviewed,not reviewed,,Other (Not Open),,
other-nc,,other-nc,,active,,,1,,,,not reviewed,not reviewed,,Other (Non-Commercial),,
other-open,,other-open,,active,,,1,1,,,approved,not reviewed,,Other (Open),,
other-pd,,other-pd,,active,,,1,1,,,approved,not reviewed,,Other (Public Domain),,
php,3.0,PHP-3.0,,active,,,,,,1,not reviewed,approved,PHP Group,PHP License 3.0,http://www.opensource.org/licenses/PHP-3.0,
postgresql,,PostgreSQL,,active,,,,,,1,not reviewed,approved,PostgreSQL Global Development Group,PostgreSQL License,http://www.opensource.org/licenses/PostgreSQL,
python,2.0,Python-2.0,,active,,,,,,1,not reviewed,approved,,Python License 2.0,http://www.opensource.org/licenses/Python-2.0,
qpl,1.0,QPL-1.0,,active,,,,,,1,not reviewed,approved,,Q Public License 1.0,http://www.opensource.org/licenses/QPL-1.0,
rpl,1.5,RPL-1.5,,active,,,,,,1,not reviewed,approved,,Reciprocal Public License 1.5,http://www.opensource.org/licenses/RPL-1.5,
rpsl,1.0,RPSL-1.0,,active,,,,,,1,not reviewed,approved,,RealNetworks Public Source License 1.0,http://www.opensource.org/licenses/RPSL-1.0,
rscpl,,RSCPL,,active,,,,,,1,not reviewed,approved,,Ricoh Source Code Public License,http://www.opensource.org/licenses/RSCPL,
simpl,2.0,SimPL-2.0,,active,,,,,,1,not reviewed,approved,,Simple Public License 2.0,http://www.opensource.org/licenses/SimPL-2.0,
sissl,,SISSL,,retired,,,,,,1,not reviewed,approved,,Sun Industry Standards Source License 1.1,http://opensource.org/licenses/SISSL,
sleepycat,,Sleepycat,,active,,,,,,1,not reviewed,approved,Oracle Corporation,Sleepycat License,http://www.opensource.org/licenses/Sleepycat,
spl,1.0,SPL-1.0,,active,,,,,,1,not reviewed,approved,,Sun Public License 1.0,http://www.opensource.org/licenses/SPL-1.0,
talis,,Talis,,active,,,,1,,,approved,not reviewed,,Talis Community License,http://www.opendefinition.org/licenses/tcl,
ukclickusepsi,,ukclickusepsi,,active,,,,1,,,rejected,not reviewed,,UK Click Use PSI,,
ukcrown,,ukcrown,,active,,,,,,,rejected,not reviewed,,UK Crown Copyright,,
ukcrown-withrights,,ukcrown-withrights,,active,,,,1,,,approved,not reviewed,,UK Crown Copyright with data.gov.uk rights,,
ukpsi,,ukpsi,,active,,,,1,,,rejected,not reviewed,,UK PSI Public Sector Information,http://www.opendefinition.org/licenses/ukpsi,
unlicense,,Unlicense,,active,,,,,,1,not reviewed,not reviewed,,Unlicense,http://unlicense.org/,
vsl,1.0,VSL-1.0,,active,,,,,,1,not reviewed,approved,,Vovida Software License 1.0,http://www.opensource.org/licenses/VSL-1.0,
w3c,,W3C,,active,,,,,,1,not reviewed,approved,World Wide Web Consortium,W3C License,http://www.opensource.org/licenses/W3C,
watcom,1.0,Watcom-1.0,,active,,,,,,1,not reviewed,approved,,Sybase Open Watcom Public License 1.0,http://www.opensource.org/licenses/Watcom-1.0,
wxwindows,,WXwindows,,active,,,,,,1,not reviewed,approved,wxWidgets Team,wxWindows Library License,http://www.opensource.org/licenses/WXwindows,
xnet,,Xnet,,active,,,,,,1,not reviewed,approved,,X.Net License,http://www.opensource.org/licenses/Xnet,
zlib,,Zlib,,active,,,,,,1,not reviewed,approved,,zlib/libpng license,http://www.opensource.org/licenses/Zlib,
zpl,2.0,ZPL-2.0,,active,,,,,,1,not reviewed,approved,Zope Foundation,Zope Public License 2.0,http://www.opensource.org/licenses/ZPL-2.0,
